iter	Passed	Remaining
410	4251	920
411	4261	910
412	4271	899
413	4282	889
414	4292	879
415	4301	868
416	4310	857
417	4319	847
418	4329	836
419	4337	826
420	4348	815
421	4358	805
422	4367	795
423	4377	784
424	4386	774
425	4397	763
426	4406	753
427	4415	742
428	4426	732
429	4434	721
430	4444	711
431	4453	701
432	4464	690
433	4474	680
434	4483	670
435	4494	659
436	4505	649
437	4515	639
438	4528	629
439	4539	619
440	4548	608
441	4558	598
442	4569	587
443	4579	577
444	4589	567
445	4601	557
446	4610	546
447	4620	536
448	4629	525
449	4638	515
450	4648	505
451	4657	494
452	4667	484
453	4676	473
454	4685	463
455	4694	452
456	4703	442
457	4713	432
458	4722	421
459	4731	411
460	4740	401
461	4749	390
462	4758	380
463	4771	370
464	4793	360
465	4825	352
466	4838	341
467	4852	331
468	4865	321
469	4876	311
470	4891	301
471	4912	291
472	4925	281
473	4937	270
474	4949	260
475	4961	250
476	4973	239
477	4985	229
478	4997	219
479	5012	208
480	5025	198
481	5038	188
482	5053	177
483	5066	167
484	5182	160
485	5283	152
486	5297	141
487	5309	130
488	5345	120
489	5360	109
490	5373	98
491	5385	87
492	5398	76
493	5408	65
494	5422	54
495	5435	43
496	5445	32
497	5457	21
498	5469	10
499	5481	0
