iter	Logloss
0	0.6730255127
1	0.6538439614
2	0.6343589238
3	0.6218025208
4	0.6046291896
5	0.5910315377
6	0.5772913252
7	0.56452931
8	0.5546706063
9	0.5413835798
10	0.5292390006
11	0.5203821455
12	0.5115759713
13	0.5059763227
14	0.4992489951
15	0.4918306623
16	0.4834228516
17	0.4768036434
18	0.4713545663
19	0.4653762272
20	0.4600699289
21	0.453537505
22	0.4466029576
23	0.4400722504
24	0.4339432308
25	0.4306852068
26	0.4274377278
27	0.4236849921
28	0.419405474
29	0.4143942152
30	0.409170505
31	0.4058620453
32	0.4022789546
33	0.3987374987
34	0.3952088492
35	0.3915896279
36	0.3885022572
37	0.3849476133
38	0.380601556
39	0.3771183286
40	0.3743771962
41	0.3711945398
42	0.3673676627
43	0.3640418734
44	0.3613382884
45	0.3590853555
46	0.3551713126
47	0.3527872358
48	0.3504676274
49	0.3476717268
50	0.3449645996
51	0.3425565175
52	0.3403717041
53	0.3379557473
54	0.3360869816
55	0.3334633963
56	0.330669948
57	0.3281968798
58	0.3258896964
59	0.323216847
60	0.3218510764
61	0.3200553894
62	0.3177615029
63	0.3157491411
64	0.3145871571
65	0.3124408722
66	0.3106179374
67	0.3081221444
68	0.3057646888
69	0.3033034461
70	0.3018477849
71	0.2991658075
72	0.2975632259
73	0.294766971
74	0.2922952924
75	0.2910825184
76	0.2894978115
77	0.2873334612
78	0.2848351615
79	0.2834985733
80	0.2812773568
81	0.2797366823
82	0.2780778067
83	0.2769988741
84	0.2754445212
85	0.2734871183
86	0.2715166092
87	0.2701717649
88	0.2688629695
89	0.2670386723
90	0.265586962
91	0.2643658229
92	0.2629355022
93	0.2613607407
94	0.260285432
95	0.2589448384
96	0.2577469145
97	0.2561923708
98	0.2543422154
99	0.253298051
100	0.2518765313
101	0.2501719066
102	0.2489058086
103	0.2475402832
104	0.2459733146
105	0.2448225566
106	0.243800681
107	0.2423856463
108	0.2405960083
109	0.2398066929
110	0.23845144
111	0.2373527527
112	0.2361261913
113	0.2351900373
114	0.2340024676
115	0.2323198863
116	0.2309938703
117	0.2293882915
118	0.2282309532
119	0.2272467749
120	0.2257259505
121	0.2248216629
122	0.2238210678
123	0.2228537696
124	0.2217639378
125	0.2204142298
126	0.2192674637
127	0.2176618031
128	0.2170184953
129	0.2160168512
130	0.2152333123
131	0.2140531949
132	0.2130239623
133	0.2122681209
134	0.2113140106
135	0.2099589212
136	0.2086566653
137	0.2074437141
138	0.2068420274
139	0.2060129302
140	0.2052012852
141	0.2038258144
142	0.2029256548
143	0.2012078694
144	0.199892589
145	0.198292705
146	0.1973537445
147	0.1964162554
148	0.1949160712
149	0.1936462539
150	0.1920528276
151	0.1911440168
152	0.1902180535
153	0.1888469424
154	0.1879354477
155	0.1871619633
156	0.18597235
157	0.1847794669
158	0.1836797578
159	0.1826610429
160	0.181379291
161	0.1805330549
162	0.1796398572
163	0.1784518514
164	0.1772223473
165	0.1763693128
166	0.1749006953
167	0.1738699777
168	0.1726293836
169	0.1714641571
170	0.1703765597
171	0.1695610183
172	0.1686587879
173	0.1673224722
174	0.1662576948
175	0.1651642118
176	0.1640146392
177	0.1630564553
178	0.1619927543
179	0.1609748159
180	0.1602323668
181	0.1592801094
182	0.1579978125
183	0.1571966444
184	0.1561747687
185	0.155468205
186	0.1547658784
187	0.1537822996
188	0.1526658467
189	0.1517663411
190	0.1510939462
191	0.1500558308
192	0.1493604388
193	0.1483225822
194	0.1473661968
195	0.1462746484
196	0.1455576488
197	0.1445294789
198	0.1439198358
199	0.1429582323
200	0.1423072542
201	0.1413121223
202	0.140545845
203	0.1397797176
204	0.1391753333
205	0.1385340282
206	0.1377901895
207	0.1372927529
208	0.1365172522
209	0.1357526507
210	0.1346040726
211	0.133938694
212	0.1330900465
213	0.1322559084
214	0.1314334597
215	0.1305217743
216	0.1299301284
217	0.129362624
218	0.128631837
219	0.1279170854
220	0.1273713929
221	0.1264450073
222	0.1257757732
223	0.1250811986
224	0.124312646
225	0.1234425681
226	0.1224803652
227	0.1219647271
228	0.1212226595
229	0.1206484113
230	0.1200362342
231	0.11941576
232	0.1189147541
233	0.1182317325
234	0.1174580029
235	0.1168246405
236	0.1161568642
237	0.1156326839
238	0.1147526741
239	0.1142797538
240	0.1136430604
241	0.1129484449
242	0.1122853756
243	0.1118229117
244	0.1113477911
245	0.1109748023
246	0.1105657714
247	0.1100181035
248	0.1095656395
249	0.1091768197
250	0.1085192272
251	0.1076823098
252	0.1072414466
253	0.1067475319
254	0.1063752719
255	0.1060015133
256	0.1053921631
257	0.1047743116
258	0.1043660504
259	0.1035851479
260	0.1032455172
261	0.102437646
262	0.1020208086
263	0.1015952723
264	0.101254252
265	0.1007643768
266	0.1002020632
267	0.09988865171
268	0.09943805422
269	0.09901128496
270	0.09870628629
271	0.09836243221
272	0.09770435606
273	0.09735277721
274	0.09707208361
275	0.09646853038
276	0.09606358664
277	0.09590672084
278	0.0954994951
279	0.09481935501
280	0.09446622304
281	0.09412455559
282	0.09375952993
283	0.09326819011
284	0.09285091673
285	0.09252296175
286	0.09212224143
287	0.09162100383
288	0.09111345836
289	0.09083138193
290	0.09006579944
291	0.08958304269
292	0.0893753188
293	0.08899797712
294	0.08880765779
295	0.08846096311
296	0.08780993053
297	0.08746010235
298	0.0871280602
299	0.08676793235
300	0.08629704884
301	0.08568153381
302	0.08565379551
303	0.08524547304
304	0.08510879789
305	0.0846841744
306	0.08431491852
307	0.08373103142
308	0.08309441975
309	0.0826767104
310	0.08234564236
311	0.08214648111
312	0.08203124319
313	0.08163569995
314	0.08115247999
315	0.08058473042
316	0.08026122366
317	0.07995667458
318	0.07968461173
319	0.07947998047
320	0.07909795216
321	0.07871506555
322	0.07821101461
323	0.07791407449
324	0.07757016591
325	0.077291005
326	0.07703988211
327	0.07669985635
328	0.07636528696
329	0.07602616719
330	0.07568631172
331	0.07502904619
332	0.07477547782
333	0.07429056849
334	0.07403264727
335	0.07358264923
336	0.07334174429
337	0.07305089406
338	0.07278016635
339	0.07249049459
340	0.07208799635
341	0.07180878775
342	0.07170206479
343	0.07145592826
344	0.07113520758
345	0.07071628571
346	0.07049040113
347	0.07013474873
348	0.06966216905
349	0.06945307595
350	0.06901159968
351	0.06867301805
352	0.06836773327
353	0.06813002314
354	0.06794808933
355	0.06762842451
356	0.06749093192
357	0.06730444772
358	0.06700689452
359	0.06678656169
360	0.06653470993
361	0.06636837551
362	0.06590896334
363	0.06557685307
364	0.06522545815
365	0.0648953574
366	0.06456984111
367	0.06434008735
368	0.0641379152
369	0.06401963915
370	0.06361542429
371	0.06344291142
372	0.06310753141
373	0.06303638731
374	0.06286437171
375	0.062696852
376	0.06237888336
377	0.06195150103
378	0.06179643359
379	0.06148234095
380	0.06146258627
381	0.06101247243
382	0.06072317532
383	0.06057767187
384	0.0601629121
385	0.05989483425
386	0.05966228758
387	0.05941844668
388	0.05923566137
389	0.05892819677
390	0.05876319068
391	0.0585864612
392	0.05825748444
393	0.05806616374
394	0.05784187317
395	0.05747590746
396	0.05730977058
397	0.05719314984
398	0.05691392081
399	0.05673943247
400	0.05654363973
401	0.05637137209
402	0.05601083551
403	0.05570408957
404	0.05550104891
405	0.05539297376
406	0.0550998245
407	0.05486239365
408	0.0546796424
409	0.0543072428
410	0.05419238976
411	0.05402965546
412	0.05375629153
413	0.05354659217
414	0.05335923604
415	0.05317178454
416	0.05306281022
417	0.05284869671
418	0.05263050624
419	0.0523818561
420	0.05230944497
421	0.05210304941
422	0.05193128586
423	0.05175657613
424	0.05158678464
425	0.05140034812
426	0.0512063912
427	0.05100363323
428	0.05076611383
429	0.05059349196
430	0.05047311783
431	0.05031582287
432	0.05007145745
433	0.04975345135
434	0.04960106782
435	0.04940579959
436	0.04930303097
437	0.0491074528
438	0.04893595832
439	0.04874424594
440	0.04854841573
441	0.04843216964
442	0.04828402315
443	0.04816098213
444	0.04800141198
445	0.04795348985
446	0.04778782981
447	0.04760354246
448	0.04756512301
449	0.04745610101
450	0.047305039
451	0.04718290057
452	0.04688532693
453	0.04673210553
454	0.04653511729
455	0.04643524034
456	0.04628831659
457	0.04615471022
458	0.04597259249
459	0.0458706413
460	0.04573054314
461	0.04562980788
462	0.04546906267
463	0.04530945165
464	0.04512602942
465	0.04494964055
466	0.04481799943
467	0.04470796244
468	0.04454163824
469	0.0443545069
470	0.0442125661
471	0.04406313896
472	0.0438529798
473	0.04370606286
474	0.04350567545
475	0.04328649385
476	0.04317920889
477	0.0430756024
478	0.04298784052
479	0.04272408485
480	0.04256375517
481	0.04241666794
482	0.04224057198
483	0.04207447256
484	0.04197341033
485	0.04181194646
486	0.04167346954
487	0.04151208401
488	0.04136839594
489	0.04129005841
490	0.04114437103
491	0.04088945389
492	0.04078019687
493	0.0406688009
494	0.04058358669
495	0.04047025953
496	0.04031303951
497	0.04014595577
498	0.04001370158
499	0.03984431539
